マスター,地名,センター,もえるごみ,プラスチック容器包装,缶・びん,有害危険ごみ,資源ごみ,せともの・ガラスくず,金属製品・複合素材
1,八手庭,三島市清掃センター,火　金,木,水2　水4,土4,月2　月4,水2,水4
1,横山,三島市清掃センター,火　金,木,水2　水4,土4,月2　月4,水2,水4
1,大平,三島市清掃センター,火　金,木,水2　水4,土4,月2　月4,水2,水4
1,小平,三島市清掃センター,火　金,木,水2　水4,土4,月2　月4,水2,水4
1,鷲足,三島市清掃センター,火　金,木,水2　水4,土4,月2　月4,水2,水4
1,山寺,三島市清掃センター,火　金,木,水2　水4,土4,月2　月4,水2,水4
1,山下（新田除く）,三島市清掃センター,火　金,木,水2　水4,土4,月2　月4,水2,水4
1,（株）ナガワ仙台工場仮説住宅,三島市清掃センター,火　金,木,水2　水4,土4,月2　月4,水2,水4
2,浅生原,三島市清掃センター,火 金,水,木1 木3,土2,月2 月4,木1,木3
2,高瀬,三島市清掃センター,火 金,水,木1 木3,土2,月2 月4,木1,木3
2,合戦原,三島市清掃センター,火 金,水,木1 木3,土2,月2 月4,木1,木3
2,療養所,三島市清掃センター,火 金,水,木1 木3,土2,月2 月4,木1,木3
2,真庭,三島市清掃センター,火 金,水,木1 木3,土2,月2 月4,木1,木3
2,町２班,三島市清掃センター,火 金,水,木1 木3,土2,月2 月4,木1,木3
2,新浜,三島市清掃センター,火 金,水,木1 木3,土2,月2 月4,木1,木3
2,笠野,三島市清掃センター,火 金,水,木1 木3,土2,月2 月4,木1,木3
2,新山下災害公営住宅,三島市清掃センター,火 金,水,木1 木3,土2,月2 月4,木1,木3
2,仮設住宅,三島市清掃センター,火 金,水,木1 木3,土2,月2 月4,木1,木3
3,久保間,三島市清掃センター,火 金,木,月2 月4,土4,水2 水4,月2,月4
3,中山,三島市清掃センター,火 金,木,月2 月4,土4,水2 水4,月2,月4
3,下郷,三島市清掃センター,火 金,木,月2 月4,土4,水2 水4,月2,月4
3,町（２班除く）,三島市清掃センター,火 金,木,月2 月4,土4,水2 水4,月2,月4
3,上平,三島市清掃センター,火 金,木,月2 月4,土4,水2 水4,月2,月4
3,磯,三島市清掃センター,火 金,木,月2 月4,土4,水2 水4,月2,月4
3,中浜,三島市清掃センター,火 金,木 ,月2 月4,土4,水2 水4,月2,月4
3,旧坂中グラウンド仮設住宅,三島市清掃センター,火 金,木,月2 月4,土4 ,水2 水4,月2,月4
3,中山熊野堂仮設住宅,三島市清掃センター,火 金,木,月2 月4,土4,水2 水4,月2,月4
4,山下新田,三島市清掃センター,火 金,水,月1 月3,土2,木2 木4,月1,月3
4,花釜,三島市清掃センター,火 金,水,月1 月3,土2,木2 木4,月1,月3
4,牛橋,三島市清掃センター,火 金,水,月1 月3,土2,木2 木4,月1,月3
